Order ID,Order Date,Customer ID,Category,Product,Quantity,Unit Price,Discount,Sales,Profit,Region,Payment Mode,Customer Segment,Profit Margin %
ORD2029,2025-01-01,CUST1148,Home & Kitchen,Bedsheet,3,3270.95,0.1,8831.56,1531.9,North,Wallet,Corporate,0.1734574639135102
ORD1083,2025-01-02,CUST1215,Beauty,Shampoo,1,1566.09,0.05,1487.79,369.63,North,Debit Card,Consumer,0.2484423204887786
ORD1876,2025-01-02,CUST1216,Fashion,Sneakers,5,2233.15,0.05,10607.47,2461.05,West,Debit Card,Corporate,0.2320110261919195
ORD1479,2025-01-02,CUST1062,Fashion,T-Shirt,3,3254.03,0.0,9762.1,1650.48,North,Credit Card,Corporate,0.1690701795720183
ORD2004,2025-01-03,CUST1168,Electronics,Headphones,3,14006.93,0.0,42020.79,6415.53,West,Wallet,Home Office,0.152675140091369
ORD1325,2025-01-03,CUST1121,Home & Kitchen,Mixer,2,3428.3,0.1,6170.93,830.19,East,Debit Card,Home Office,0.1345323962514564
ORD2095,2025-01-03,CUST1223,Sports,Running Shoes,1,2861.75,0.1,2575.58,251.45,West,UPI,Consumer,0.0976284953292074
ORD1744,2025-01-04,CUST1159,Home & Kitchen,Bedsheet,2,5098.76,0.05,9687.64,1726.7,East,Debit Card,Corporate,0.1782374241817408
ORD1021,2025-01-04,CUST1030,Fashion,Jacket,5,2330.77,0.0,11653.84,1899.33,North,Credit Card,Consumer,0.1629788979426523
ORD2074,2025-01-04,CUST1245,Home & Kitchen,Table Lamp,3,5382.91,0.0,16148.73,1639.72,North,Credit Card,Consumer,0.1015386349267094
ORD1993,2025-01-04,CUST1091,Beauty,Face Wash,1,1329.47,0.0,1329.47,341.4,West,Credit Card,Home Office,0.2567940607911423
ORD1864,2025-01-05,CUST1119,Sports,Cricket Bat,2,2412.2,0.1,4341.96,795.78,South,UPI,Consumer,0.1832766768924633
ORD2057,2025-01-05,CUST1071,Beauty,Moisturizer,3,1733.71,0.1,4681.02,712.61,South,Wallet,Consumer,0.1522339148305283
ORD1573,2025-01-06,CUST1112,Beauty,Moisturizer,4,1593.41,0.05,6054.97,1306.64,East,COD,Corporate,0.2157962797503538
ORD2165,2025-01-06,CUST1028,Sports,Yoga Mat,1,3309.8,0.05,3144.31,480.24,North,COD,Home Office,0.1527330320483667
ORD1896,2025-01-06,CUST1199,Sports,Cricket Bat,2,2282.23,0.1,4108.02,533.28,East,Credit Card,Consumer,0.1298143631238406
ORD1875,2025-01-06,CUST1086,Home & Kitchen,Table Lamp,5,3891.77,0.1,17512.97,2539.61,West,Debit Card,Home Office,0.1450130960082727
ORD1908,2025-01-06,CUST1155,Home & Kitchen,Bedsheet,4,4442.06,0.05,16879.83,933.09,West,UPI,Consumer,0.0552784003156429
ORD1677,2025-01-07,CUST1004,Sports,Football,4,2382.22,0.2,7623.1,1176.83,South,COD,Home Office,0.1543768283244349
ORD1550,2025-01-08,CUST1214,Home & Kitchen,Cookware Set,1,4305.7,0.1,3875.13,558.85,South,UPI,Corporate,0.1442145166742793
ORD2000,2025-01-08,CUST1088,Fashion,Sneakers,3,2108.29,0.0,6324.88,909.81,North,UPI,Consumer,0.1438462073588748
ORD1905,2025-01-08,CUST1214,Sports,Football,5,2880.98,0.2,11523.9,2242.03,West,COD,Home Office,0.1945547948177266
ORD1996,2025-01-08,CUST1250,Electronics,Smartphone,3,23192.16,0.0,69576.48,8363.27,West,COD,Home Office,0.1202025454578903
ORD2161,2025-01-08,CUST1189,Electronics,Smartphone,3,17612.9,0.1,47554.83,7107.81,South,Debit Card,Home Office,0.1494655747901948
ORD1823,2025-01-08,CUST1054,Electronics,Headphones,4,20432.92,0.1,73558.51,11561.91,North,UPI,Home Office,0.1571797743048357
ORD1851,2025-01-08,CUST1021,Home & Kitchen,Mixer,3,2195.18,0.0,6585.55,980.2,West,Debit Card,Consumer,0.1488410231491675
ORD1506,2025-01-08,CUST1167,Electronics,Laptop,3,20565.79,0.15,52442.77,8533.95,North,Wallet,Corporate,0.1627288184815562
ORD1145,2025-01-08,CUST1175,Sports,Running Shoes,4,3608.78,0.05,13713.35,1670.2,West,Credit Card,Corporate,0.1217937265511344
ORD1252,2025-01-08,CUST1045,Home & Kitchen,Mixer,1,4100.11,0.05,3895.1,675.89,South,UPI,Consumer,0.1735231444635567
ORD1646,2025-01-09,CUST1127,Beauty,Perfume,5,1709.81,0.05,8121.59,1858.51,North,Wallet,Corporate,0.2288357329045174
ORD1995,2025-01-09,CUST1212,Fashion,Jacket,3,1700.49,0.1,4591.33,807.38,West,UPI,Corporate,0.1758488281173429
ORD1151,2025-01-09,CUST1081,Electronics,Smartwatch,5,9984.94,0.1,44932.24,7372.4,South,Credit Card,Consumer,0.1640781763829268
ORD1384,2025-01-09,CUST1028,Fashion,Jeans,2,1297.0,0.0,2594.0,634.17,West,Debit Card,Corporate,0.2444757131842714
ORD2022,2025-01-09,CUST1125,Sports,Running Shoes,4,3333.52,0.05,12667.37,1907.48,West,UPI,Consumer,0.150582165042941
ORD1340,2025-01-10,CUST1116,Beauty,Moisturizer,2,580.91,0.1,1045.64,263.69,North,UPI,Home Office,0.2521804827665353
ORD1309,2025-01-10,CUST1031,Sports,Cricket Bat,3,2069.21,0.2,4966.1,622.09,North,UPI,Consumer,0.1252673123779223
ORD1907,2025-01-10,CUST1193,Electronics,Smartphone,5,26641.73,0.05,126548.21,18324.97,East,Debit Card,Corporate,0.1448062362952427
ORD1973,2025-01-10,CUST1122,Sports,Running Shoes,5,2267.22,0.0,11336.1,2287.82,South,Credit Card,Home Office,0.2018172034473937
ORD1361,2025-01-11,CUST1106,Sports,Cricket Bat,5,2809.79,0.2,11239.16,2016.14,North,Debit Card,Corporate,0.1793852921392702
ORD1053,2025-01-12,CUST1243,Home & Kitchen,Bedsheet,4,3324.12,0.15,11302.02,1200.19,North,Debit Card,Consumer,0.1061925213368937
ORD2198,2025-01-12,CUST1172,Beauty,Perfume,5,1714.44,0.05,8143.61,2114.62,South,UPI,Home Office,0.2596661677069506
